year,month,SPI,Air Tem C,VCI,monthly_total_mm
2020,1,-0.274515619,20.82946633,62.66166426,0.009068909
2020,2,-0.269272241,22.46639332,43.28077421,0
2020,3,0.73917515,24.24386034,42.73101304,48.40954272
2020,4,2.433982734,24.18333345,59.56989801,83.63169462
2020,5,-0.983910131,25.57833199,69.20469432,51.92688998
2020,6,-0.427002126,25.99967597,44.05708422,13.45048055
2020,7,-0.174281666,24.58455978,32.24848597,4.461209332
2020,8,0.945873874,24.82042681,64.03281035,22.73418246
2020,9,2.278101102,26.07030286,48.45058737,65.91115463
2020,10,-1.432137366,24.74770674,38.16198394,8.124409216
2020,11,-0.690072617,21.7115772,34.67591107,1.434355984
2020,12,-0.399043493,20.41002532,29.37801927,0
2021,1,-0.289580894,20.02621288,26.78375066,0
2021,2,-0.047645051,21.18968047,25.23865283,0.183014545
2021,3,-0.499497078,23.84587618,24.47979826,9.338011161
2021,4,0.124621079,24.59311653,24.5830363,37.59038926
2021,5,0.457434454,24.35800752,73.1164094,90.06233576
2021,6,-0.780026616,24.69530066,56.13635519,7.75826126
2021,7,0.076216988,22.81485354,33.64296993,5.411414156
2021,8,1.988304765,25.66469626,52.47215999,30.89581173
2021,9,-0.413761496,26.66016207,56.09308845,28.38856573
2021,10,0.042548234,25.03386874,52.04474181,40.78813705
2021,11,-0.818277402,22.97063784,41.07873515,0
2021,12,-0.399043493,20.84884479,31.60276015,0
2022,1,3.459905451,21.08414269,28.34459539,2.36328722
2022,2,2.624122524,21.65888336,26.20728056,1.336518627
2022,3,-0.404286785,23.64975278,23.8498367,12.32037929
2022,4,-0.90464784,26.12938829,23.90256857,16.99042702
2022,5,-1.233475006,27.23676804,25.27326899,45.03268224
2022,6,0.130072395,25.15825133,20.34982616,22.4087898
2022,7,0.883266578,23.4570194,19.90690376,8.698542701
2022,8,-0.948872984,24.81199334,18.66260768,7.831997382
2022,9,-0.108450545,26.06027491,36.92913015,32.66411184
2022,10,-0.109994069,24.71907275,36.92238791,37.385716
2022,11,-0.650437046,22.38109114,39.68295028,2.103387151
2022,12,-0.399043493,21.05009243,28.5426574,0
2023,1,-0.289580894,20.19742184,23.64502135,0
2023,2,-0.269272241,21.64306868,21.83028751,0
2023,3,3.184426525,23.50410634,24.14168478,125.5757219
2023,4,0.106022803,24.39296632,46.45926095,37.17182249
2023,5,0.949225481,25.6851358,73.54641733,103.2337722
2023,6,-0.675250709,25.93696363,53.81346318,9.44179899
2023,7,-1.278785023,24.55705199,35.4193548,0
2023,8,-0.975588619,25.94238089,30.82732114,7.587434594
2023,9,0.679913189,27.3438824,56.81930688,43.55727099
2023,10,1.146023348,24.68172687,56.40711084,65.49366753
2023,11,2.682518166,21.23368269,86.60342964,45.17266168
2023,12,-0.399043493,21.18986415,76.38510886,0
2024,1,-0.289580894,21.59701542,50.96859669,0
2024,2,-0.269272241,23.46194094,37.89324868,0
2024,3,-0.539676157,25.6783855,32.84221628,8.041588209
2024,4,0.87322228,25.95247646,54.15095924,52.43132318
2024,5,-1.240865905,26.51235729,70.03162478,44.90206404
2024,6,-0.392540502,26.03402884,41.45857464,13.99229053
2024,7,1.803415598,25.76854586,40.50210154,12.32610063
2024,8,1.25779773,25.41139237,61.63053608,25.18065018
2024,9,-1.458612323,26.9082833,64.71714664,14.00606145
2024,10,-0.587709848,25.84344401,48.28034088,26.82235127
2024,11,0.049074761,22.93946961,40.81148488,11.11098391
2024,12,-0.399043493,20.37137298,35.49027823,0
